com.samsung.shealth.step_daily_trend,6188005,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
56de0f29-f732-446e-939f-92d0df4037bb.binning_data.json,2019-09-15 22:15:09.781,2019-09-15 04:22:39.105,com.sec.android.app.shealth,-2,5344,1.4354324,3973.3442,207.52074,VfS0qUERdZ,com.sec.android.app.shealth,56de0f29-f732-446e-939f-92d0df4037bb,1568505600000,
b66fe980-3db4-486c-a5d7-aac4ec449806.binning_data.json,2019-07-31 21:21:28.518,2019-07-31 02:15:19.719,com.sec.android.app.shealth,-2,8711,1.3476852,6295.022,318.5132,VfS0qUERdZ,com.sec.android.app.shealth,b66fe980-3db4-486c-a5d7-aac4ec449806,1564531200000,
ef506249-1452-45e4-8381-e9abc0a62e63.binning_data.json,2019-08-16 22:00:01.623,2019-08-16 22:00:01.623,com.sec.android.app.shealth,0,2693,1.8318738,2104.451,97.572235,dNgkxZR9yp,com.sec.android.app.shealth,ef506249-1452-45e4-8381-e9abc0a62e63,1565913600000,
5a53549d-50fb-4ca9-90ee-5ca7fffd9a03.binning_data.json,2019-12-06 04:00:39.493,2019-12-05 07:37:25.313,com.sec.android.app.shealth,-2,10138,1.4293467,7368.144,374.94455,VfS0qUERdZ,com.sec.android.app.shealth,5a53549d-50fb-4ca9-90ee-5ca7fffd9a03,1575504000000,
64e34ccc-4cdc-4cd8-a62c-7a2736ccb14e.binning_data.json,2019-06-09 22:15:07.182,2019-06-09 07:19:15.802,com.sec.android.app.shealth,18,4246,2.5610762,3054.4414,164.51201,AumAWJiKT9,com.sec.android.app.shealth,64e34ccc-4cdc-4cd8-a62c-7a2736ccb14e,1560038400000,
8feb323d-fc9e-4fd4-92ac-165e71cc7446.binning_data.json,2019-11-27 00:55:15.542,2019-11-26 06:02:55.606,com.sec.android.app.shealth,18,9742,6.9444447,7355.7837,387.67578,AumAWJiKT9,com.sec.android.app.shealth,8feb323d-fc9e-4fd4-92ac-165e71cc7446,1574726400000,
a9c8000a-3af4-47fc-9df8-056d583927d8.binning_data.json,2019-08-21 18:57:04.802,2019-08-21 05:26:35.692,com.sec.android.app.shealth,-2,6068,1.544086,4752.697,217.58083,VfS0qUERdZ,com.sec.android.app.shealth,a9c8000a-3af4-47fc-9df8-056d583927d8,1566345600000,
15f43a8b-ca0e-48cf-9af9-dc75cdd3d396.binning_data.json,2019-08-07 22:00:03.197,2019-08-07 22:00:03.197,com.sec.android.app.shealth,0,361,2.139271,277.72156,12.98548,dNgkxZR9yp,com.sec.android.app.shealth,15f43a8b-ca0e-48cf-9af9-dc75cdd3d396,1565136000000,
40dead96-6997-41ea-8f5c-bf48642bc4b4.binning_data.json,2019-10-10 00:35:27.009,2019-10-09 06:46:53.334,com.sec.android.app.shealth,18,1427,4.0472426,1033.418,59.03,AumAWJiKT9,com.sec.android.app.shealth,40dead96-6997-41ea-8f5c-bf48642bc4b4,1570579200000,
a4f20b85-d528-4d49-bcdd-3f13bcf8f1c0.binning_data.json,2019-12-19 23:00:02.121,2019-12-19 23:00:02.121,com.sec.android.app.shealth,0,751,6.9444447,603.3408,28.062439,dNgkxZR9yp,com.sec.android.app.shealth,a4f20b85-d528-4d49-bcdd-3f13bcf8f1c0,1576713600000,
