com.samsung.shealth.activity.day_summary,6188005,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
12873,7538821,,0,2019-06-20 23:35:44.783,2019-06-19 22:00:01.395,60,420000,208,9853.648,516.8099,ced2d3cb-42b6-45b9-b7a8-8585507773dd.extra_data.json,dNgkxZR9yp,187707,com.sec.android.app.shealth,7351114,25380000,ced2d3cb-42b6-45b9-b7a8-8585507773dd,1560988800000,
2353,1526307,,0,2019-06-21 22:17:51.469,2019-06-20 22:00:00.384,60,60000,40,1681.7217,91.34079,ecc7f7a9-4610-4dd9-b127-b93afccd5b0d.extra_data.json,dNgkxZR9yp,51600,com.sec.android.app.shealth,1474707,28140000,ecc7f7a9-4610-4dd9-b127-b93afccd5b0d,1561075200000,
13808,8853339,,0,2019-06-30 22:08:10.141,2019-06-29 22:00:00.544,60,360000,243,10499.364,546.5444,ff90adc6-1553-4f4f-8c84-40cc6d03edbb.extra_data.json,dNgkxZR9yp,335750,com.sec.android.app.shealth,8517589,33420000,ff90adc6-1553-4f4f-8c84-40cc6d03edbb,1561852800000,
5331,3519710,,0,2019-06-24 00:15:06.988,2019-06-22 22:00:10.401,60,60000,96,3830.2617,198.00809,a23f8028-1688-4511-baf6-9b2f1172709e.extra_data.json,dNgkxZR9yp,38000,com.sec.android.app.shealth,3481710,32760000,a23f8028-1688-4511-baf6-9b2f1172709e,1561248000000,
11117,6584030,,0,2019-07-01 22:55:21.320,2019-06-30 22:00:00.626,60,838620,181,8434.968,424.19107,92863d1e-607b-49cc-8fcc-11151e302678.extra_data.json,dNgkxZR9yp,123527,com.sec.android.app.shealth,6460503,24120000,92863d1e-607b-49cc-8fcc-11151e302678,1561939200000,
12000,7690439,,0,2019-06-26 21:23:33.436,2019-06-25 22:00:10.218,60,1669850,211,8556.91,426.65894,698edc2b-3b06-453f-8f36-abc4652dca20.extra_data.json,dNgkxZR9yp,18702,com.sec.android.app.shealth,7671737,21180000,698edc2b-3b06-453f-8f36-abc4652dca20,1561507200000,
11251,8422327,,1415450,2019-07-06 22:30:39.385,2019-07-05 22:03:05.954,60,1415450,231,8318.943,528.87915,5bd982f1-6a57-4909-9058-6c6eb1ab7b79.extra_data.json,dNgkxZR9yp,134213,com.sec.android.app.shealth,6872664,16920000,5bd982f1-6a57-4909-9058-6c6eb1ab7b79,1562371200000,
9480,6208639,,600000,2019-06-29 23:55:06.377,2019-06-28 22:00:00.385,60,741851,170,6546.1426,422.07593,7a91e1fc-7150-41c7-b8c8-694f18e9679d.extra_data.json,dNgkxZR9yp,108273,com.sec.android.app.shealth,5500366,15180000,7a91e1fc-7150-41c7-b8c8-694f18e9679d,1561766400000,
10011,6622656,,0,2019-07-08 00:55:03.879,2019-07-06 22:00:01.669,60,60000,183,7296.632,370.9376,69fc9e6c-80a8-4857-9867-eacfe659503d.extra_data.json,dNgkxZR9yp,60800,com.sec.android.app.shealth,6561856,31680000,69fc9e6c-80a8-4857-9867-eacfe659503d,1562457600000,
12888,7350875,,0,2019-06-27 23:35:04.558,2019-06-26 22:00:00.424,60,2014160,201,9868.491,468.05322,937e06ad-024a-4626-986f-6cf26cde5ac5.extra_data.json,dNgkxZR9yp,52029,com.sec.android.app.shealth,7298846,11820000,937e06ad-024a-4626-986f-6cf26cde5ac5,1561593600000,
10510,6048160,,0,2019-07-13 06:21:36.701,2019-07-11 22:00:01.381,60,420000,166,8203.995,393.13843,a1a2dfc5-a77e-4264-82a2-69a71f8fca64.extra_data.json,dNgkxZR9yp,105749,com.sec.android.app.shealth,5942411,26880000,a1a2dfc5-a77e-4264-82a2-69a71f8fca64,1562889600000,
11728,6918744,,0,2019-07-05 21:15:07.836,2019-07-04 22:00:00.499,60,690440,191,8879.269,434.28296,e5a4c479-53ba-40d2-902f-b8fa58f5f789.extra_data.json,dNgkxZR9yp,61590,com.sec.android.app.shealth,6857154,17520000,e5a4c479-53ba-40d2-902f-b8fa58f5f789,1562284800000,
7334,4594386,,0,2019-07-03 19:55:20.325,2019-07-02 22:00:01.415,60,300000,126,5407.014,280.93384,2e845425-74a0-4d66-8dfd-f64e3ec22f9e.extra_data.json,dNgkxZR9yp,81564,com.sec.android.app.shealth,4512822,29940000,2e845425-74a0-4d66-8dfd-f64e3ec22f9e,1562112000000,
