com.samsung.shealth.exercise.weather,6188005,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2020-01-27 09:17:05.906,48.805103,,SSW. 210,Cloudy,0,1,TWC,2020-01-27 09:17:05.907,2020-01-27 09:17:05.907,1,2.1890006,8.0,92,UTC+0200,dNgkxZR9yp,8b88f199-5fc4-4e19-92a2-02772de4e805,com.sec.android.app.shealth,km/h,0,26.0,3,9190ed45-9dc5-46b8-869a-9b30f9a499c4,
3.0,,2019-09-12 12:25:14.580,47.210308,,,Cloudy,,1,TWC,2019-09-12 13:00:43.267,2019-09-12 13:00:43.267,0,-1.5374626,23.0,64,UTC+0300,AumAWJiKT9,c56e24a9-aa5b-4dc8-9344-387b385fcb2d,com.sec.android.app.shealth,,,,3,8fa4d788-3d76-4f74-82df-6aed9e5a01b2,
,0,2020-02-05 13:08:14.135,48.839725,,NNE. 30,Mostly Cloudy,0,1,TWC,2020-02-05 13:08:14.138,2020-02-05 13:08:14.138,1,2.3165047,9.0,64,UTC+0200,dNgkxZR9yp,09e2ec5f-4342-4206-8267-df5336c5e906,com.sec.android.app.shealth,km/h,0,5.0,3,2724d89a-03d9-4a60-ad3a-4af1b89e46bf,
2.0,,2019-09-19 08:58:25.520,48.811687,,,Sunny,,1,TWC,2019-09-19 09:12:26.973,2019-09-19 09:12:26.973,0,2.1882994,15.0,58,UTC+0300,AumAWJiKT9,2accc850-08a3-cee5-9279-6d5f6411bd20,com.sec.android.app.shealth,,,,1,73ffba7c-237c-8899-021c-573c7e4e0740,
,0,2020-02-21 11:49:15.792,48.88219,,SW. 230,Partly Cloudy,0,1,TWC,2020-02-21 11:49:15.794,2020-02-21 11:49:15.794,1,2.344601,9.0,63,UTC+0200,dNgkxZR9yp,cc9ab564-b63f-46ff-b6e1-a8178061a2cf,com.sec.android.app.shealth,km/h,0,16.0,2,3334d9cc-a3e8-4d6e-88a6-3fa2b29519dd,
2.0,,2019-10-01 14:03:22.550,48.85721,,,Mostly Cloudy,,1,TWC,2019-10-01 14:18:51.498,2019-10-01 14:18:51.498,0,2.3498113,22.0,57,UTC+0300,AumAWJiKT9,cd7bce23-46a2-3660-ff8b-9b343e5870ca,com.sec.android.app.shealth,,,,3,3a9b6c11-5e0b-0ef2-9f4a-3dd0d44f05db,
1.0,,2020-02-26 11:00:25.850,48.883034,,,Rain,,1,TWC,2020-02-26 11:24:56.229,2020-02-26 11:24:56.229,0,2.3271368,6.0,72,UTC+0200,AumAWJiKT9,ec5ab290-bdf3-fcb7-6349-11f5623bee3a,com.sec.android.app.shealth,,,,5,71e08fad-031a-a66f-439e-2af0e81ceb80,
3.0,,2019-10-14 12:11:18.930,48.83245,,,Fair,,1,TWC,2019-10-14 12:25:01.551,2019-10-14 12:25:01.551,0,2.3380597,24.0,55,UTC+0300,AumAWJiKT9,fb4dba5c-c44c-4587-150d-80a1de64ab66,com.sec.android.app.shealth,,,,1,3ed0588a-97b9-c2b4-0499-232eabe5e4a0,
0.0,,2020-03-10 08:59:46.020,48.809605,,,Cloudy,,1,TWC,2020-03-10 09:17:03.181,2020-03-10 09:17:03.181,0,2.1875212,11.0,95,UTC+0200,AumAWJiKT9,c446e9ea-6d9f-a349-2874-630e53ab869b,com.sec.android.app.shealth,,,,3,809d445a-6742-f000-a888-cc6076e85f76,
,0,2019-10-19 12:10:09.260,48.861366,,SSW. 200,Mostly Cloudy,0,1,TWC,2019-10-19 12:10:09.264,2019-10-19 12:10:09.264,1,2.3572676,13.0,89,UTC+0300,dNgkxZR9yp,9c0ce3fd-577e-41e0-b87f-f1e83e25a4ab,com.sec.android.app.shealth,km/h,0,11.0,3,c5fa9508-ca6e-4ddc-8d3d-ac1ea09b86ef,
