com.samsung.shealth.tracker.pedometer_day_summary,6188005,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
7927,e397cde0-e870-46b3-9ca2-8c3ab61f9aac.binning_data.json,3843458,6000,166,2019-06-25 00:24:38.024,com.sec.android.app.shealth,2019-06-24 04:53:35.403,,6.888889,5877.462,315.251,7761,AumAWJiKT9,com.sec.android.app.shealth,0,e397cde0-e870-46b3-9ca2-8c3ab61f9aac.achievement.json,e397cde0-e870-46b3-9ca2-8c3ab61f9aac,1561334400000,
211,47396c92-9d84-494c-a557-fdc85dd5d6f7.binning_data.json,118856,6000,0,2019-06-23 22:00:01.294,com.sec.android.app.shealth,2019-06-23 22:00:01.294,,1.667174,161.05655,7.5550947,211,dNgkxZR9yp,com.sec.android.app.shealth,0,47396c92-9d84-494c-a557-fdc85dd5d6f7.achievement.json,47396c92-9d84-494c-a557-fdc85dd5d6f7,1561248000000,
9006,8e20e48b-fe9f-4e50-82bd-1c4696f07d93.binning_data.json,3775856,6000,451,2019-06-22 22:00:00.886,com.sec.android.app.shealth,2019-06-22 22:00:00.886,,6.945937,7641.3965,352.12738,8555,dNgkxZR9yp,com.sec.android.app.shealth,0,8e20e48b-fe9f-4e50-82bd-1c4696f07d93.achievement.json,8e20e48b-fe9f-4e50-82bd-1c4696f07d93,1561161600000,
10904,8820d464-761a-445a-aa89-aa1e87086a9f.binning_data.json,5564982,6000,75,2019-06-26 21:23:33.129,com.sec.android.app.shealth,2019-06-26 03:53:55.577,,2.3333333,7666.218,410.75,10829,AumAWJiKT9,com.sec.android.app.shealth,0,8820d464-761a-445a-aa89-aa1e87086a9f.achievement.json,8820d464-761a-445a-aa89-aa1e87086a9f,1561507200000,
7857,1fb01757-5ec3-4af6-a182-5b86d1856794.binning_data.json,3905956,6000,25,2019-06-26 22:00:01.014,com.sec.android.app.shealth,2019-06-26 22:00:01.014,,2.7865188,6188.0093,281.15424,7832,dNgkxZR9yp,com.sec.android.app.shealth,0,1fb01757-5ec3-4af6-a182-5b86d1856794.achievement.json,1fb01757-5ec3-4af6-a182-5b86d1856794,1561507200000,
12197,ae85559b-1c48-4596-9062-4d249705018c.binning_data.json,5930467,6000,118,2019-06-27 23:35:04.295,com.sec.android.app.shealth,2019-06-27 00:35:04.861,,5.055555,9215.634,467.45187,12079,AumAWJiKT9,com.sec.android.app.shealth,0,ae85559b-1c48-4596-9062-4d249705018c.achievement.json,ae85559b-1c48-4596-9062-4d249705018c,1561593600000,
6657,5fa9019d-0b2a-4ff1-b183-47e6aee11238.binning_data.json,3323300,6000,73,2019-06-24 22:00:03.308,com.sec.android.app.shealth,2019-06-24 22:00:03.308,,4.534684,5254.1475,240.03711,6584,dNgkxZR9yp,com.sec.android.app.shealth,0,5fa9019d-0b2a-4ff1-b183-47e6aee11238.achievement.json,5fa9019d-0b2a-4ff1-b183-47e6aee11238,1561334400000,
8457,208cc020-ce0c-40ea-a744-90a48e448fc6.binning_data.json,4032754,6000,447,2019-06-25 22:00:00.675,com.sec.android.app.shealth,2019-06-25 22:00:00.675,,4.2257347,6908.9004,324.28314,8010,dNgkxZR9yp,com.sec.android.app.shealth,0,208cc020-ce0c-40ea-a744-90a48e448fc6.achievement.json,208cc020-ce0c-40ea-a744-90a48e448fc6,1561420800000,
10278,128380c9-08a8-46ed-85ad-4aaca376d59f.binning_data.json,5016316,6000,275,2019-07-01 22:55:20.793,com.sec.android.app.shealth,2019-06-30 22:08:09.254,,2.3510926,7535.7983,413.6282,10003,AumAWJiKT9,com.sec.android.app.shealth,0,128380c9-08a8-46ed-85ad-4aaca376d59f.achievement.json,128380c9-08a8-46ed-85ad-4aaca376d59f,1561939200000,
6694,984b7df9-2cab-466f-9218-e70c5a636a29.binning_data.json,3406638,6000,168,2019-06-29 23:55:05.841,com.sec.android.app.shealth,2019-06-29 00:37:56.103,,6.111111,4740.81,245.78355,6526,AumAWJiKT9,com.sec.android.app.shealth,0,984b7df9-2cab-466f-9218-e70c5a636a29.achievement.json,984b7df9-2cab-466f-9218-e70c5a636a29,1561766400000,
4101,98346f0b-0c04-4334-9a96-3e45052ca68a.binning_data.json,1998698,6000,231,2019-06-29 22:00:01.062,com.sec.android.app.shealth,2019-06-29 22:00:01.062,,5.3981705,3344.9243,159.16978,3870,dNgkxZR9yp,com.sec.android.app.shealth,0,98346f0b-0c04-4334-9a96-3e45052ca68a.achievement.json,98346f0b-0c04-4334-9a96-3e45052ca68a,1561766400000,
9237,2b64b3ab-4104-4b7c-b95f-bd5c6a540bc8.binning_data.json,4453175,6000,87,2019-06-27 22:25:29.016,com.sec.android.app.shealth,2019-06-27 22:25:29.016,,2.7766206,7318.0444,330.2611,9150,dNgkxZR9yp,com.sec.android.app.shealth,0,2b64b3ab-4104-4b7c-b95f-bd5c6a540bc8.achievement.json,2b64b3ab-4104-4b7c-b95f-bd5c6a540bc8,1561593600000,
11700,f3770be7-e4f2-43f7-a795-2768112d59bb.binning_data.json,5696229,6000,385,2019-07-04 22:28:48.567,com.sec.android.app.shealth,2019-07-04 05:35:32.420,,6.9444447,8824.731,477.67538,11315,AumAWJiKT9,com.sec.android.app.shealth,0,f3770be7-e4f2-43f7-a795-2768112d59bb.achievement.json,f3770be7-e4f2-43f7-a795-2768112d59bb,1562198400000,
