com.samsung.shealth.stress,6188005,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2019-06-05 07:00:00.000,,40db5183-ea58-3964-5dde-34f1a46372ee.binning_data.json,10011,2019-06-05 08:01:47.750,2019-06-05 08:01:47.750,100.0,0.0,28.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-05 07:59:59.999,40db5183-ea58-3964-5dde-34f1a46372ee,
2019-06-21 07:00:00.000,,05a0ccc9-8d38-ec72-c6d9-66ff0ad6a2c7.binning_data.json,10011,2019-06-21 08:03:32.651,2019-06-21 08:03:32.651,99.0,0.0,12.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-21 07:59:59.999,05a0ccc9-8d38-ec72-c6d9-66ff0ad6a2c7,
2019-06-05 13:00:00.000,,e0c33686-ad77-6fd7-3c2b-22866b2f5eab.binning_data.json,10011,2019-06-05 14:10:25.317,2019-06-05 14:10:25.317,100.0,0.0,11.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-05 13:59:59.999,e0c33686-ad77-6fd7-3c2b-22866b2f5eab,
2019-06-21 13:00:00.000,,6f3b349f-47b6-e52f-2f34-001ff5db901f.binning_data.json,10011,2019-06-21 14:02:04.451,2019-06-21 13:01:36.710,100.0,0.0,9.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-21 13:59:59.999,6f3b349f-47b6-e52f-2f34-001ff5db901f,
2019-06-05 19:00:00.000,,9e0fb391-9acf-a884-2a31-375a1381a6b5.binning_data.json,10011,2019-06-05 20:01:41.285,2019-06-05 19:21:50.392,100.0,0.0,9.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-05 19:59:59.999,9e0fb391-9acf-a884-2a31-375a1381a6b5,
2019-06-21 19:00:00.000,,b055df97-e2e1-fffc-de69-5f375efa3cfc.binning_data.json,10011,2019-06-21 20:05:03.386,2019-06-21 19:04:04.939,100.0,0.0,38.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-21 19:59:59.999,b055df97-e2e1-fffc-de69-5f375efa3cfc,
2019-06-06 03:00:00.000,,3ac61915-4fe0-19e0-9f9f-571f7ee74be1.binning_data.json,10011,2019-06-06 04:44:00.744,2019-06-06 03:12:32.389,0.0,0.0,0.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-06 03:59:59.999,3ac61915-4fe0-19e0-9f9f-571f7ee74be1,
2019-06-22 07:00:00.000,,e323a88c-8fcb-6065-36b2-3aa804c46c9b.binning_data.json,10011,2019-06-22 08:01:13.430,2019-06-22 08:01:13.430,100.0,0.0,47.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-22 07:59:59.999,e323a88c-8fcb-6065-36b2-3aa804c46c9b,
2019-06-06 09:00:00.000,,7b732492-1d1b-b218-d41f-547782a20733.binning_data.json,10011,2019-06-06 10:10:36.417,2019-06-06 10:10:36.417,100.0,0.0,7.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-06 09:59:59.999,7b732492-1d1b-b218-d41f-547782a20733,
2019-06-22 15:00:00.000,,ad688170-297b-1996-bb73-b733bfbbb8c0.binning_data.json,10011,2019-06-22 16:03:39.697,2019-06-22 16:03:39.697,100.0,0.0,59.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-22 15:59:59.999,ad688170-297b-1996-bb73-b733bfbbb8c0,
