com.samsung.shealth.report,6188005,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Europe/Paris,1601157600000,2020-10-10 11:11:30.352,2020-10-04 11:10:20.528,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,d3d74246-b009-4803-972b-a77755a460ed,d3d74246-b009-4803-972b-a77755a460ed.compressed_content.json,
Europe/Paris,1602367200000,2020-10-24 11:10:19.645,2020-10-18 11:58:53.349,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,35163539-e763-4fea-a4c7-1cbd619a2466,35163539-e763-4fea-a4c7-1cbd619a2466.compressed_content.json,
Europe/Paris,1602972000000,2020-10-31 12:10:39.559,2020-10-25 12:10:19.036,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,5dffb347-b16b-4aa5-a885-300b2f58c82f,5dffb347-b16b-4aa5-a885-300b2f58c82f.compressed_content.json,
Europe/Paris,1604876400000,2020-11-21 12:10:15.044,2020-11-16 12:10:15.995,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,ca178985-4f22-4f24-afa8-308020c0f40e,ca178985-4f22-4f24-afa8-308020c0f40e.compressed_content.json,
Europe/Paris,1603576800000,2020-11-06 12:10:14.948,2020-11-01 12:10:27.829,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,7c42b858-2199-450b-9d84-f98d60f79260,7c42b858-2199-450b-9d84-f98d60f79260.compressed_content.json,
Europe/Paris,1604271600000,2020-11-15 12:10:34.577,2020-11-09 12:15:52.986,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,3be2470b-2f2f-446c-86a1-9fe5a0339968,3be2470b-2f2f-446c-86a1-9fe5a0339968.compressed_content.json,
Europe/Paris,1605481200000,2020-11-29 12:15:31.202,2020-11-23 12:10:14.259,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,a36b5ad3-e726-4646-b817-cb92cdf46506,a36b5ad3-e726-4646-b817-cb92cdf46506.compressed_content.json,
Europe/Paris,1606086000000,2020-12-06 12:11:28.163,2020-11-30 12:32:10.429,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,dca0d1b4-9982-4e22-a678-9cfce4197f56,dca0d1b4-9982-4e22-a678-9cfce4197f56.compressed_content.json,
Europe/Paris,1606690800000,2020-12-13 12:23:30.108,2020-12-07 12:14:36.893,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,8a2a5cb2-b0d2-4e29-83db-abd29ea3ffd7,8a2a5cb2-b0d2-4e29-83db-abd29ea3ffd7.compressed_content.json,
Europe/Paris,1608505200000,2021-01-03 12:10:12.874,2020-12-28 12:10:19.373,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,1ba9fd7b-0b6e-423c-be15-0cb4768c0e97,1ba9fd7b-0b6e-423c-be15-0cb4768c0e97.compressed_content.json,
Europe/Paris,1607900400000,2020-12-27 12:10:14.224,2020-12-21 12:10:17.429,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,ff2d7667-ca1a-4397-9e42-6c5291142dd4,ff2d7667-ca1a-4397-9e42-6c5291142dd4.compressed_content.json,
Europe/Paris,1609110000000,2021-01-10 12:13:08.301,2021-01-04 12:10:17.498,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,25c4b352-b3ed-4f6f-8221-7000d3977290,25c4b352-b3ed-4f6f-8221-7000d3977290.compressed_content.json,
Europe/Paris,1609714800000,2021-01-17 12:10:14.823,2021-01-11 12:10:14.748,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,018414dc-bf24-4eae-ba59-555a14d6bbbd,018414dc-bf24-4eae-ba59-555a14d6bbbd.compressed_content.json,
Europe/Paris,1610319600000,2021-01-24 12:57:23.601,2021-01-18 12:10:20.971,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,e97ef5ce-fa74-4b4c-ab1e-2ca12edfda07,e97ef5ce-fa74-4b4c-ab1e-2ca12edfda07.compressed_content.json,
Europe/Paris,1612134000000,2021-02-14 12:10:29.675,2021-02-08 12:12:30.366,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,799b2002-ff8a-4d33-9cb9-c9c71f590845,799b2002-ff8a-4d33-9cb9-c9c71f590845.compressed_content.json,
Europe/Paris,1611529200000,2021-02-07 12:10:17.626,2021-02-01 12:35:10.590,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,1f53fcde-af69-49ff-8a94-90df0c559254,1f53fcde-af69-49ff-8a94-90df0c559254.compressed_content.json,
Europe/Paris,1613343600000,2021-02-28 12:14:43.398,2021-02-22 12:10:54.128,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,5e01c328-c1f9-452a-be33-ee3fb8dad01a,5e01c328-c1f9-452a-be33-ee3fb8dad01a.compressed_content.json,
Europe/Paris,1612738800000,2021-02-20 12:12:24.102,2021-02-15 12:15:13.121,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,b8550a08-0925-4d88-8458-3ec5c3c943b8,b8550a08-0925-4d88-8458-3ec5c3c943b8.compressed_content.json,
Europe/Paris,1613948400000,2021-03-07 12:10:21.684,2021-03-01 12:10:17.895,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,13b8b052-d708-47e2-9ee0-bb2f57b9ef43,13b8b052-d708-47e2-9ee0-bb2f57b9ef43.compressed_content.json,
Europe/Paris,1615762800000,2021-03-28 11:10:23.664,2021-03-22 12:23:49.342,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,b21554c0-f52e-486f-9866-749387ea40e5,b21554c0-f52e-486f-9866-749387ea40e5.compressed_content.json,
Europe/Paris,1616367600000,2021-04-03 11:10:16.744,2021-03-29 11:27:16.601,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,e1a28ebb-3151-40d3-8d55-1a6fdc1e5d9d,e1a28ebb-3151-40d3-8d55-1a6fdc1e5d9d.compressed_content.json,
Europe/Paris,1616968800000,2021-04-11 12:54:51.815,2021-04-06 11:33:31.714,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,61c482e8-32fa-4bce-924b-fa66cb7d593e,61c482e8-32fa-4bce-924b-fa66cb7d593e.compressed_content.json,
Europe/Paris,1615158000000,2021-03-21 12:20:16.006,2021-03-15 12:10:25.807,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,9d7e5318-8f07-4c99-95df-8b0c61708e7a,9d7e5318-8f07-4c99-95df-8b0c61708e7a.compressed_content.json,
Europe/Paris,1617573600000,2021-04-18 11:14:14.512,2021-04-12 11:10:21.683,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,bb813572-09b5-40ee-9515-9a3cc1ff7879,bb813572-09b5-40ee-9515-9a3cc1ff7879.compressed_content.json,
